product,rate_mfn,rate_applied,tariff_lines,is_traded
"080590 - Fruit, edible; citrus fruit n.e.s. in heading no. 0805, fresh or dried",10,10,1,Yes
"081400 - Peel; of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water and other preservative solutions",10,10,1,No
150110 - Lard,10,10,1,No
"150410 - Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified",10,10,2,Yes
151710 - Margarine; excluding liquid margarine,10,10,2,No
"180310 - Cocoa; paste, not defatted",10,10,1,No
"180320 - Cocoa; paste, wholly or partly defatted",10,10,1,No
"180400 - Cocoa; butter, fat and oil",10,10,1,Yes
"180500 - Cocoa; powder, not containing added sugar or other sweetening matter",10,10,1,Yes
"180610 - Cocoa; powder, containing added sugar or other sweetening matter",10,10,1,Yes
"200820 - Fruit; pineapples, prepared or preserved in ways n.e.s. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit",10,10,2,Yes
210310 - Sauces; soya,10,10,1,Yes
210320 - Sauces; tomato ketchup and other tomato sauces,10,10,1,Yes
210410 - Soups and broths and preparations therefor,10,10,4,Yes
210420 - Homogenised composite food preparations,10,10,4,Yes
"252020 - Plasters; (consisting of calcined gypsum or calcium sulphate), whether or not coloured, with or without small quantities of accelerators or retarders",10,10,2,Yes
252210 - Quicklime; excluding calcium oxide and hydroxide of heading no. 2825,10,10,1,No
252220 - Slaked lime; excluding calcium oxide and hydroxide of heading no. 2825,10,10,1,No
252230 - Hydraulic lime; excluding calcium oxide and hydroxide of heading no. 2825,10,10,1,No
280110 - Chlorine,10,10,1,Yes
280610 - Hydrogen chloride (hydrochloric acid),10,10,1,Yes
291732 - Acids; aromatic polycarboxylic acids; dioctyl orthophthalates,10,10,1,No
"292242 - Amino-acids; their esters, (other than those containing more than one kind of oxygen function), glutamic acid and its salts",10,10,3,Yes
"340111 - Soap and organic surface-active products; in the form of bars, cakes, moulded shapes, and paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent, for toilet use (including medicated products)",10,10,6,Yes
"340311 - Lubricating preparations; for the treatment of textile and similar materials (leather, furskins etc), containing less than 70% (by weight) of petroleum oils or oils obtained from bituminous minerals",10,10,3,Yes
"340319 - Lubricating preparations; (other than for the treatment of textile and similar materials), containing less than 70% (by weight) of petroleum oils or oils obtained from bituminous minerals",10,10,4,Yes
"340391 - Lubricating preparations; for the treatment of textile and similar materials (leather, furskins etc), (not containing petroleum oils or oils obtained from bituminous minerals)",10,10,3,Yes
"340399 - Lubricating preparations; other than for the treatment of textile and similar materials, not containing petroleum oils or oils obtained from bituminous minerals",10,10,4,Yes
"340510 - Polishes, creams and similar preparations; for footwear or leather, excluding waxes of heading no. 3404",10,10,1,Yes
"340520 - Polishes, creams and similar preparations; for the maintenance of wooden furniture, floors or other woodwork, excluding waxes of heading no. 3404",10,10,1,Yes
"340530 - Polishes, creams and similar preparations; for coachwork, other than metal polishes, excluding waxes of heading no. 3404",10,10,1,Yes
"340590 - Polishes, creams and similar preparations; n.e.s. in heading no. 3405, excluding waxes of heading no. 3404",10,10,2,Yes
380899 - Other,10,10,2,Yes
"390110 - Ethylene polymers; in primary forms, polyethylene having a specific gravity of less than 0.94",10,10,4,Yes
"390120 - Ethylene polymers; in primary forms, polyethylene having a specific gravity of 0.94 or more",10,10,1,Yes
"390230 - Propylene, other olefin polymers; propylene copolymers in primary forms",10,10,2,Yes
"390410 - Vinyl chloride, other halogenated olefin polymers; polyvinyl chloride (not mixed with any other substances), in primary forms",10,10,4,Yes
"390421 - Vinyl chloride, other halogenated olefin polymers; non-plasticised polyvinyl chloride, in primary forms, mixed with other substances",10,10,3,Yes
390512 - In aqueous dispersion,10,10,1,No
390521 - In aqueous dispersion,10,10,1,Yes
390750 - Alkyd resins; in primary forms,10,10,2,Yes
391710 - Plastics; artificial guts (sausage casings) of hardened protein or of cellulosic materials,10,10,2,Yes
"392210 - Plastics; baths, shower-baths and wash-basins",10,10,3,Yes
"400599 - Rubber; unvulcanised, (compounded other than with carbon black or silica), in primary forms, (other than plates, sheets, strip, solutions or dispersions)",10,10,3,Yes
410631 - In the wet state (including wet-blue),10,10,1,No
410632 - In the dry state (crust),10,10,1,No
411320 - Of swine,10,10,1,No
480100 - Newsprint; in rolls or sheets,10,10,8,No
"480220 - Paper and paperboard; uncoated, of a kind used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper or paperboard, in rolls or sheets",10,10,2,Yes
"480240 - Paper and paperboard; wallpaper base, uncoated, in rolls or sheets",10,10,2,No
480254 - Weighing less than 40 g/m²,10,10,8,Yes
480262 - In sheets with one side not exceeding 435 mm and the other side not exceeding 297 mm in the unfolded state,10,10,8,No
480269 - Other,10,10,4,Yes
"480411 - Kraft paper and paperboard; kraftliner, uncoated, unbleached, in rolls or sheets, other than that of heading no. 4802 or 4803",10,10,1,Yes
"480419 - Kraft paper and paperboard; kraftliner, uncoated, bleached, in rolls or sheets, other than that of heading no. 4802 or 4803",10,10,1,Yes
"480431 - Kraft paper and paperboard; uncoated, unbleached, weight 150g/m2 or less, in rolls or sheets, other than that of heading no. 4802 or 4803",10,10,5,Yes
"480441 - Kraft paper and paperboard; uncoated, unbleached, weight more than 150g/m2 but less than 225g/m2, in rolls or sheets, other than that of heading no. 4802 or 4803",10,10,2,Yes
"480451 - Kraft paper and paperboard; uncoated, unbleached, weight 225g/m2 or more, in rolls or sheets, other than that of heading no. 4802 or 4803",10,10,4,Yes
480511 - Semi-chemical fluting paper,10,10,1,No
480512 - Straw fluting paper,10,10,1,No
480519 - Other,10,10,2,Yes
480524 - Weighing 150 g/m² or less,10,10,1,No
480525 - Weighing more than 150 g/m²,10,10,2,No
481019 - Other,10,10,2,Yes
481022 - Lightweight coated paper,10,10,2,Yes
"481031 - Kraft paper and paperboard; uniformly bleached throughout, coated with inorganic substances, more than 95% of chemically processed wood fibres, weight 150g/m2 or less, for non-graphic purposes, in rolls or sheets",10,10,2,Yes
"481032 - Kraft paper and paperboard; uniformly bleached throughout, coated with inorganic substances, more than 95% of chemically processed wood fibres, weight more than 150g/m2, for non-graphic purposes, in rolls or sheets",10,10,2,Yes
"481099 - Paper and paperboard; coated with inorganic substances only, whether or not surface-coloured, surface-decorated or printed, n.e.s. in heading no. 4810, in rolls or sheets",10,10,2,Yes
"482210 - Paper pulp, paper or paperboard; bobbins, spools, cops and similar supports, of a kind used for winding textile yarn (whether or not perforated or hardened)",10,10,2,No
"482290 - Paper pulp, paper or paperboard; bobbins, spools, cops and similar supports, other than of a kind used for winding textile yarn (whether or not perforated or hardened)",10,10,2,Yes
"490700 - Unused postage, revenue or similar stamps of current or new issue in the country to which destined; stamp-impressed paper; cheque forms; banknotes, stock, share or bond certificates and the like",10,10,6,Yes
500710 - Silk; woven fabrics of noil silk,10,10,3,No
500790 - Silk; woven fabrics n.e.s. in heading no. 5007,10,10,3,Yes
"520511 - Cotton yarn; (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, measuring 714.29 decitex or more, (not exceeding 14 metric number), not for retail sale",10,10,1,Yes
"520512 - Cotton yarn; (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, less than 714.29 but not less than 232.56 decitex (exceeding 14 but not exceeding 43 metric number), not for retail sale",10,10,1,No
"520513 - Cotton yarn; (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, less than 232.56 but not less than 192.31 decitex (exceeding 43 but not exceeding 52 metric number), not for retail sale",10,10,1,No
"520514 - Cotton yarn; (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, less than 192.31 but not less than 125 decitex (exceeding 52 but not exceeding 80 metric number), not for retail sale",10,10,1,No
"520515 - Cotton yarn; (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, measuring less than 125 decitex (exceeding 80 metric number), not for retail sale",10,10,1,No
"520521 - Cotton yarn; (not sewing thread), single, of combed fibres, 85% or more by weight of cotton, measuring 714.29 decitex or more, (not exceeding 14 metric number), not for retail sale",10,10,1,No
"520522 - Cotton yarn; (not sewing thread), single, of combed fibres, 85% or more by weight of cotton, less than 714.29 but not less than 232.56 decitex (exceeding 14 but not exceeding 43 metric number), not for retail sale",10,10,1,No
"520523 - Cotton yarn; (not sewing thread), single, of combed fibres, 85% or more by weight of cotton, less than 232.56 but not less than 192.31 decitex (exceeding 43 but not exceeding 52 metric number), not for retail sale",10,10,1,No
"520524 - Cotton yarn; (not sewing thread), single, of combed fibres, 85% or more by weight of cotton, less than 192.31 but not less than 125 decitex (exceeding 52 but not exceeding 80 metric number), not for retail sale",10,10,1,No
"520526 - Measuring less than 125 decitex but not less than 106,38 decitex (exceeding 80 metric number but not exceeding 94 metric number)",10,10,1,No
"520527 - Measuring less than 106,38 decitex but not less than 83,33 decitex (exceeding 94 metric number but not exceeding 120 metric number)",10,10,1,No
"520528 - Measuring less than 83,33 decitex (exceeding 120 metric number)",10,10,1,No
"520531 - Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, 85% or more by weight of cotton, 714.29 decitex or more (not exceeding 14 metric number) per single yarn, not for retail sale",10,10,1,No
"520532 - Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, 85% or more by weight of cotton, 714.28 to 232.56 decitex (15 to 43 metric number) per single yarn, not for retail sale",10,10,1,No
"520533 - Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, 85% or more by weight of cotton, 232.55 to 192.31 decitex (44 to 52 metric number) per single yarn, not for retail sale",10,10,1,No
"520534 - Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, 85% or more by weight of cotton, 192.30 to 125 decitex (53 to 80 metric number) per single yarn, not for retail sale",10,10,1,No
"520535 - Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, 85% or more by weight of cotton, less than 125 decitex (exceeding 80 metric number), per single yarn, not for retail sale",10,10,1,No
"520541 - Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 714.29 decitex or more (not exceeding 14 metric number) per single yarn, not for retail sale",10,10,1,No
"520542 - Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 714.28 to 232.56 decitex (15 to 43 metric number) per single yarn, not for retail sale",10,10,1,No
"520543 - Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 232.55 to 192.31 decitex (44 to 52 metric number) per single yarn, not for retail sale",10,10,1,No
"520544 - Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 192.30 to 125 decitex (53 to 80 metric number) per single yarn, not for retail sale",10,10,1,No
"520546 - Measuring per single yarn less than 125 decitex but not less than 106,38 decitex (exceeding 80 metric number but not exceeding 94 metric number per single yarn)",10,10,1,No
"520547 - Measuring per single yarn less than 106,38 decitex but not less than 83,33 decitex (exceeding 94 metric number but not exceeding 120 metric number per single yarn)",10,10,1,No
"520548 - Measuring per single yarn less than 83,33 decitex (exceeding 120 metric number per single yarn)",10,10,1,No
"520611 - Cotton yarn; (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, measuring 714.29 decitex or more (not exceeding 14 metric number), not for retail sale",10,10,1,No
"520612 - Cotton yarn; (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, less than 714.29 but not less than 232.56 decitex (exceeding 14 but not exceeding 43 metric number), not for retail sale",10,10,1,No
"520613 - Cotton yarn; (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, less than 232.56 but not less than 192.31 decitex (exceeding 43 but not exceeding 52 metric number), not for retail sale",10,10,1,No
"520614 - Cotton yarn; (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, less than 192.31 but not less than 125 decitex (exceeding 52 but not exceeding 80 metric number), not for retail sale",10,10,1,No
"520615 - Cotton yarn; (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, measuring less than 125 decitex (exceeding 80 metric number), not for retail sale",10,10,1,No
"520621 - Cotton yarn; (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, measuring 714.29 decitex or more, (not exceeding 14 metric number), not for retail sale",10,10,1,No
"520622 - Cotton yarn; (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, less than 714.29 but not less than 232.56 decitex (exceeding 14 but not exceeding 43 metric number), not for retail sale",10,10,1,No
"520623 - Cotton yarn; (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, less than 232.56 but not less than 192.31 decitex (exceeding 43 but not exceeding 52 metric number), not for retail sale",10,10,1,No
"520624 - Cotton yarn; (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, less than 192.31 but not less than 125 decitex (exceeding 52 but not exceeding 80 metric number), not for retail sale",10,10,1,No
"520625 - Cotton yarn; (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, measuring less than 125 decitex (exceeding 80 metric number), not for retail sale",10,10,1,No
"520631 - Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, 714.29 decitex or more (not exceeding 14 metric number) per single yarn, not for retail sale",10,10,1,No
"520632 - Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, 714.28 to 232.56 decitex (15 to 43 metric number) per single yarn, not for retail sale",10,10,1,No
"520633 - Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, 232.55 to 192.31 decitex (44 to 52 metric number) per single yarn, not for retail sale",10,10,1,No
"520634 - Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, 192.30 to 125 decitex (53 to 80 metric number) per single yarn, not for retail sale",10,10,1,No
"520635 - Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, less than 125 decitex (exceeding 80 metric number) per single yarn, not for retail sale",10,10,1,No
"520641 - Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, 714.29 decitex or more (not exceeding 14 metric number) per single yarn, not for retail sale",10,10,1,No
"520642 - Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, 714.28 to 232.56 decitex (15 to 43 metric number) per single yarn, not for retail sale",10,10,1,No
"520643 - Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, 232.55 to 192.31 decitex (44 to 52 metric number) per single yarn, not for retail sale",10,10,1,No
"520644 - Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, 192.30 to 125 decitex (53 to 80 metric number) per single yarn, not for retail sale",10,10,1,No
"520645 - Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, less than 125 decitex (exceeding 80 metric number) per single yarn, not for retail sale",10,10,1,No
"520710 - Cotton yarn; (not sewing thread), containing 85% or more by weight of cotton, put up for retail sale",10,10,1,No
"520790 - Cotton yarn; (not sewing thread), containing less than 85% by weight of cotton, put up for retail sale",10,10,1,Yes
"520811 - Fabrics, woven; containing 85% or more by weight of cotton, unbleached, plain weave, weighing not more than 100g/m2",10,10,1,No
"520812 - Fabrics, woven; containing 85% or more by weight of cotton, unbleached, plain weave, weighing more than 100g/m2 but not more than 200g/m2",10,10,1,Yes
"520813 - Fabrics, woven; containing 85% or more by weight of cotton, unbleached, 3-thread or 4-thread twill, including cross twill, weighing not more than 200g/m2",10,10,1,No
"520819 - Fabrics, woven; containing 85% or more by weight of cotton, unbleached, of weaves n.e.s. in item no. 5208.1, weighing not more than 200g/m2",10,10,1,Yes
"520821 - Fabrics, woven; containing 85% or more by weight of cotton, bleached, plain weave, weighing not more than 100g/m2",10,10,1,No
"520822 - Fabrics, woven; containing 85% or more by weight of cotton, bleached, plain weave, weighing more than 100g/m2 but not more than 200g/m2",10,10,1,No
"520823 - Fabrics, woven; containing 85% or more by weight of cotton, bleached, 3-thread or 4-thread twill, including cross twill, weighing not more than 200g/m2",10,10,1,No
"520829 - Fabrics, woven; containing 85% or more by weight of cotton, bleached, of weaves n.e.s. in item no. 5208.2, weighing not more than 200g/m2",10,10,1,Yes
"520831 - Fabrics, woven; containing 85% or more by weight of cotton, dyed, plain weave, weighing not more than 100g/m2",10,10,2,No
"520832 - Fabrics, woven; containing 85% or more by weight of cotton, dyed, plain weave, weighing more than 100g/m2 but not more than 200g/m2",10,10,1,Yes
"520833 - Fabrics, woven; containing 85% or more by weight of cotton, dyed, 3-thread or 4-thread twill, including cross twill, weighing not more than 200g/m2",10,10,1,No
"520839 - Fabrics, woven; containing 85% or more by weight of cotton, dyed, of weaves n.e.s. in item no. 5208.3 weighing not more than 200g/m2",10,10,1,No
"520841 - Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, plain weave, weighing not more than 100g/m2",10,10,2,No
"520842 - Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, weighing more than 100g/m2 but not more than 200g/m2",10,10,2,No
"520843 - Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, 3-thread or 4-thread twill, including cross twill, weighing not more than 200g/m2",10,10,1,No
"520849 - Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, of weaves n.e.s. in item no. 5208.4, weighing not more than 200g/m2",10,10,1,No
"520851 - Fabrics, woven; containing 85% or more by weight of cotton, printed, plain weave, weighing not more than 100g/m2",10,10,2,No
"520852 - Fabrics, woven; containing 85% or more by weight of cotton, printed, plain weave, weighing more than 100g/m2 but not more than 200g/m2",10,10,2,Yes
"520859 - Fabrics, woven; containing 85% or more by weight of cotton, printed, of weaves n.e.s. in item no. 5208.5, weighing not more than 200g/m2",10,10,3,Yes
"520911 - Fabrics, woven; containing 85% or more by weight of cotton, unbleached, plain weave, weighing more than 200g/m2",10,10,2,No
"520912 - Fabrics, woven; containing 85% or more by weight of cotton, unbleached, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2",10,10,1,No
"520919 - Fabrics, woven; containing 85% or more by weight of cotton, unbleached, of weaves n.e.s. in item no. 5209.1, weighing more than 200g/m2",10,10,1,No
"520921 - Fabrics, woven; containing 85% or more by weight of cotton, bleached, plain weave, weighing more than 200g/m2",10,10,1,No
"520922 - Fabrics, woven; containing 85% or more by weight of cotton, bleached, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2",10,10,1,No
"520929 - Fabrics, woven; containing 85% or more by weight of cotton, bleached, of weaves n.e.s. in item no. 5209.2, weighing more than 200g/m2",10,10,1,No
"520931 - Fabrics, woven; containing 85% or more by weight of cotton, dyed, plain weave, weighing more than 200g/m2",10,10,1,No
"520932 - Fabrics, woven; containing 85% or more by weight of cotton, dyed, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2",10,10,1,No
"520939 - Fabrics, woven; containing 85% or more by weight of cotton, dyed, of weaves n.e.s. in item no. 5209.3, weighing more than 200g/m2",10,10,1,No
"520941 - Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, plain weave, weighing more than 200g/m2",10,10,1,No
"520942 - Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, weighing more than 200g/m2, denim",10,10,1,Yes
"520943 - Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2",10,10,1,No
"520949 - Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, of weaves n.e.s. in item no. 5209.4, weighing more than 200g/m2",10,10,1,No
"520951 - Fabrics, woven; containing 85% or more by weight of cotton, printed, plain weave, weighing more than 200g/m2",10,10,2,No
"520952 - Fabrics, woven; containing 85% or more by weight of cotton, printed, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2",10,10,2,No
"520959 - Fabrics, woven; containing 85% or more by weight of cotton, printed, of weaves n.e.s. in item no. 5209.5, weighing more than 200g/m2",10,10,2,Yes
"521011 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, plain weave, weighing 200g/m2 or less",10,10,1,No
"521019 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, of weaves n.e.s. in item no. 5210.1, weighing 200g/m2 or less",10,10,1,Yes
"521021 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, bleached, plain weave, weighing 200g/m2 or less",10,10,1,No
"521029 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, bleached, of weaves n.e.s. in item no. 5210.2",10,10,1,No
"521031 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, dyed, plain weave",10,10,1,No
"521032 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, dyed, 3-thread or 4-thread twill, including cross twill",10,10,1,No
"521039 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, dyed, of weaves n.e.s. in item no. 5210.3",10,10,1,No
"521041 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, of yarns of different colours, plain weave",10,10,2,No
"521049 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, of yarns of different colours, of weaves n.e.s. in item no. 5210.4",10,10,1,Yes
"521051 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, printed, plain weave",10,10,2,No
"521059 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, printed, of weaves n.e.s. in item no. 5210.5",10,10,2,No
"521111 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, plain weave, weighing more than 200g/m2",10,10,1,No
"521112 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, 3- or 4-thread twill, including cross twill, weighing more than 200g/m2",10,10,1,No
"521119 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, of weaves n.e.s. in item no. 5211.1, weighing more than 200g/m2",10,10,1,No
521120 - Bleached,10,10,1,No
"521131 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, dyed, plain weave",10,10,1,No
"521132 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, dyed, 3-thread or 4-thread twill, including cross twill",10,10,1,No
"521139 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, dyed, of weaves n.e.s. in item no. 5211.3",10,10,1,No
"521141 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, of yarns of different colours, plain weave",10,10,2,No
"521142 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, of yarns of different colours, denim",10,10,1,No
"521143 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, of yarns of different colours, 3-thread or 4-thread twill, including cross twill",10,10,1,No
"521149 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, of yarns of different colours, of weaves n.e.s. in item no. 5211.4",10,10,1,No
"521151 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, printed, plain weave",10,10,2,No
"521152 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, printed, 3-thread or 4-thread twill, including cross twill",10,10,2,No
"521159 - Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, printed, of weaves n.e.s. in item no. 5211.5",10,10,2,No
"521211 - Fabrics, woven; of cotton, unbleached, weighing not more than 200g/m2, n.e.s. in chapter 52",10,10,1,No
"521212 - Fabrics, woven; of cotton, bleached, weighing not more than 200g/m2, n.e.s. in chapter 52",10,10,1,No
"521213 - Fabrics, woven; of cotton, dyed, weighing not more than 200g/m2, n.e.s. in chapter 52",10,10,1,No
"521214 - Fabrics, woven; of cotton, of yarns of different colours, weighing not more than 200g/m2, n.e.s. in chapter 52",10,10,1,No
"521215 - Fabrics, woven; of cotton, printed, weighing not more than 200g/m2, n.e.s. in chapter 52",10,10,2,No
"521221 - Fabrics, woven; of cotton, unbleached, weighing more than  200g/m2, n.e.s. in chapter 52",10,10,1,No
"521222 - Fabrics, woven; of cotton, bleached, weighing more than 200g/m2, n.e.s. in chapter 52",10,10,1,No
"521223 - Fabrics, woven; of cotton, dyed, weighing more than 200g/m2, n.e.s. in chapter 52",10,10,1,No
"521224 - Fabrics, woven; of cotton, of yarns of different colours, weighing more than 200g/m2, n.e.s. in chapter 52",10,10,1,No
"521225 - Fabrics, woven; of cotton, printed, weighing more than 200g/m2, n.e.s. in chapter 52",10,10,2,Yes
"540110 - Sewing thread; of synthetic filaments, whether or not put up for retail sale",10,10,2,Yes
"540231 - Yarn; textured, (not sewing thread), of nylon or other polyamides, measuring per single yarn not more than 50 decitex (including synthetic monofilament of less than 67 decitex), not put up for retail sale",10,10,1,No
"540232 - Yarn; textured, (not sewing thread), of nylon or other polyamides, measuring per single yarn more than 50 decitex (including synthetic monofilament of less than 67 decitex), not put up for retail sale",10,10,1,No
"540233 - Yarn; textured, (not sewing thread), of polyesters (including synthetic monofilament of less than 67 decitex), not put up for retail sale",10,10,2,No
540234 - Of polypropylene,10,10,1,Yes
"540239 - Yarn; textured, (not sewing thread), of synthetic filament yarn n.e.s. in item no. 5402.30 (including synthetic monofilament of less than 67 decitex), not put up for retail sale",10,10,1,No
540411 - Elastomeric,10,10,1,Yes
"540412 - Other, of polypropylene",10,10,1,Yes
540419 - Other,10,10,1,Yes
"540490 - Filament, synthetic; strip and the like (eg artificial straw), of synthetic textile materials of an apparent width not exceeding 5mm",10,10,1,Yes
"540500 - Monofilament, synthetic; of 67 decitex or more and of which no cross-sectional dimension exceeds 1mm, strip and the like (eg artificial straw), of synthetic textile materials with width not over 5mm",10,10,1,No
"540600 - Man-made filament yarn (other than sewing thread), put up for retail sale",10,10,1,No
"540710 - Fabrics, woven; from high tenacity yarn, of nylon, other polyamides or of polyesters",10,10,3,Yes
"540720 - Fabrics, woven; from strip or the like, of synthetic textile materials",10,10,1,Yes
"540730 - Fabrics, woven; from synthetic filament yarn, adhesive or thermal bonded",10,10,1,Yes
"540741 - Fabrics, woven; containing 85% or more by weight of filaments of nylon or other polyamides, unbleached or bleached",10,10,2,Yes
"540742 - Fabrics, woven; containing 85% or more by weight of filaments of nylon or other polyamides, dyed",10,10,1,Yes
"540743 - Fabrics, woven; containing 85% or more by weight of filaments of nylon or other polyamides, of yarns of different colours",10,10,1,No
"540744 - Fabrics, woven; containing 85% or more by weight of filaments of nylon or other polyamides, printed",10,10,1,No
"540751 - Fabrics, woven; containing 85% or more by weight of textured polyester filaments, unbleached or bleached",10,10,1,Yes
"540752 - Fabrics, woven; containing 85% or more by weight of textured polyester filaments, dyed",10,10,1,Yes
"540753 - Fabrics, woven; containing 85% or more by weight of textured polyester filaments, of yarns of different colours",10,10,1,Yes
"540754 - Fabrics, woven; containing 85% or more by weight of textured polyester filaments, printed",10,10,1,No
540761 - Containing 85 % or more by weight of non-textured polyester filaments,10,10,2,Yes
540769 - Other,10,10,2,Yes
"540771 - Fabrics, woven; containing 85% or more by weight of synthetic filaments (excluding nylon or other polyamides and polyesters), unbleached or bleached",10,10,1,Yes
"540772 - Fabrics, woven; containing 85% or more by weight of synthetic filaments (excluding nylon or other polyamides and polyesters), dyed",10,10,1,Yes
